Vehicles to enrich with complaints: 1071

[1/1071] 2018 Acura MDX  ->  153 complaints, 0 new
[428/1071] 2021 Honda Passport  ->  127 complaints, 0 new
[429/1071] 2021 Honda Pilot  ->  386 complaints, 0 new
[430/1071] 2021 Honda Ridgeline  ->  93 complaints, 0 new
[431/1071] 2022 Honda Accord  ->  180 complaints, 0 new
[432/1071] 2022 Honda CR-V  ->  203 complaints, 0 new
[433/1071] 2022 Honda Civic  ->  872 complaints, 0 new
[434/1071] 2022 Honda HR-V  ->  74 complaints, 0 new
[435/1071] 2022 Honda Passport  ->  51 complaints, 0 new
[436/1071] 2022 Honda Pilot  ->  121 complaints, 0 new
[437/1071] 2022 Honda Ridgeline  ->  109 complaints, 0 new
[438/1071] 2023 Honda Accord  ->  0 complaints, 0 new
[439/1071] 2023 Honda CR-V  ->  497 complaints, 0 new
[440/1071] 2023 Honda Civic  ->  0 complaints, 0 new
[441/1071] 2023 Honda Ridgeline  ->  116 complaints, 0 new
[442/1071] 2024 Honda Accord  ->  0 complaints, 0 new
[443/1071] 2024 Honda CR-V  ->  363 complaints, 0 new
[444/1071] 2024 Honda Civic  ->  0 complaints, 0 new
[445/1071] 2024 Honda HR-V  ->  102 complaints, 0 new
[446/1071] 2024 Honda Odyssey  ->  57 complaints, 0 new
[447/1071] 2024 Honda Passport  ->  15 complaints, 0 new
[448/1071] 2024 Honda Pilot  ->  90 complaints, 0 new
[449/1071] 2024 Honda Prologue  ->  769 complaints, 0 new
[450/1071] 2024 Honda Ridgeline  ->  45 complaints, 0 new
[451/1071] 2003 Hyundai Elantra  ->  234 complaints, 0 new
[452/1071] 2003 Hyundai Santa Fe  ->  308 complaints, 0 new
[453/1071] 2003 Hyundai Sonata  ->  198 complaints, 0 new
[454/1071] 2004 Hyundai Elantra  ->  182 complaints, 0 new
[455/1071] 2004 Hyundai Santa Fe  ->  303 complaints, 0 new
[456/1071] 2004 Hyundai Sonata  ->  202 complaints, 0 new
[457/1071] 2005 Hyundai Santa Fe  ->  216 complaints, 0 new
[458/1071] 2005 Hyundai Sonata  ->  165 complaints, 0 new
[459/1071] 2006 Hyundai Santa Fe  ->  106 complaints, 0 new
[460/1071] 2006 Hyundai Sonata  ->  1047 complaints, 0 new
[461/1071] 2017 Hyundai Elantra  ->  753 complaints, 0 new
[462/1071] 2017 Hyundai Tucson  ->  1064 complaints, 0 new
[463/1071] 2018 Hyundai Elantra  ->  270 complaints, 0 new
[464/1071] 2018 Hyundai Santa Fe  ->  107 complaints, 0 new
[465/1071] 2018 Hyundai Sonata  ->  357 complaints, 0 new
[466/1071] 2018 Hyundai Tucson  ->  376 complaints, 0 new
[467/1071] 2019 Hyundai Santa Fe  ->  187 complaints, 0 new
[468/1071] 2019 Hyundai Sonata  ->  149 complaints, 0 new
[469/1071] 2019 Hyundai Tucson  ->  366 complaints, 0 new
[470/1071] 2020 Hyundai Elantra  ->  232 complaints, 0 new
[471/1071] 2020 Hyundai Kona  ->  148 complaints, 0 new
[472/1071] 2020 Hyundai Palisade  ->  496 complaints, 0 new
[473/1071] 2020 Hyundai Santa Fe  ->  183 complaints, 0 new
[474/1071] 2020 Hyundai Sonata  ->  156 complaints, 0 new
[475/1071] 2020 Hyundai Tucson  ->  161 complaints, 0 new
[476/1071] 2020 Hyundai Venue  ->  41 complaints, 0 new
[477/1071] 2021 Hyundai Elantra  ->  126 complaints, 0 new
[478/1071] 2021 Hyundai Kona  ->  108 complaints, 0 new
[479/1071] 2021 Hyundai Palisade  ->  396 complaints, 0 new
[480/1071] 2021 Hyundai Santa Fe  ->  157 complaints, 0 new
[481/1071] 2021 Hyundai Sonata  ->  114 complaints, 0 new
[482/1071] 2021 Hyundai Tucson  ->  67 complaints, 0 new
[483/1071] 2021 Hyundai Venue  ->  28 complaints, 0 new
[484/1071] 2022 Hyundai Elantra  ->  92 complaints, 0 new
[485/1071] 2022 Hyundai Ioniq 5  ->  395 complaints, 0 new
[486/1071] 2022 Hyundai Kona  ->  91 complaints, 0 new
[487/1071] 2022 Hyundai Palisade  ->  280 complaints, 0 new
[488/1071] 2022 Hyundai Tucson  ->  350 complaints, 0 new
[489/1071] 2023 Hyundai Ioniq 5  ->  372 complaints, 0 new
[490/1071] 2023 Hyundai Ioniq 6  ->  54 complaints, 0 new
[491/1071] 2023 Hyundai Santa Fe  ->  188 complaints, 0 new
[492/1071] 2023 Hyundai Tucson  ->  115 complaints, 0 new
[493/1071] 2024 Hyundai Elantra  ->  50 complaints, 0 new
[494/1071] 2024 Hyundai Ioniq 5  ->  207 complaints, 0 new
[495/1071] 2024 Hyundai Ioniq 6  ->  34 complaints, 0 new
[496/1071] 2024 Hyundai Kona  ->  38 complaints, 0 new
[497/1071] 2024 Hyundai Palisade  ->  353 complaints, 0 new
[498/1071] 2024 Hyundai Sonata  ->  38 complaints, 0 new
[499/1071] 2024 Hyundai Tucson  ->  80 complaints, 0 new
[500/1071] 2018 Infiniti QX60  ->  36 complaints, 0 new
[501/1071] 2019 Infiniti QX60  ->  35 complaints, 0 new
[502/1071] 2020 Infiniti Q50  ->  3 complaints, 0 new
[503/1071] 2020 Infiniti Q60  ->  2 complaints, 0 new
[504/1071] 2020 Infiniti QX50  ->  30 complaints, 0 new
[505/1071] 2020 Infiniti QX60  ->  23 complaints, 0 new
[506/1071] 2020 Infiniti QX80  ->  6 complaints, 0 new
[507/1071] 2021 Infiniti Q50  ->  4 complaints, 0 new
[508/1071] 2021 Infiniti Q60  ->  3 complaints, 0 new
[509/1071] 2021 Infiniti QX50  ->  35 complaints, 0 new
[510/1071] 2021 Infiniti QX60  ->  0 complaints, 0 new
[511/1071] 2021 Infiniti QX80  ->  6 complaints, 0 new
[512/1071] 2022 Infiniti QX60  ->  21 complaints, 0 new
[513/1071] 2022 Infiniti QX80  ->  1 complaints, 0 new
[514/1071] 2024 Infiniti QX50  ->  2 complaints, 0 new
[515/1071] 2024 Infiniti QX60  ->  15 complaints, 0 new
[516/1071] 2003 Jeep Grand Cherokee  ->  760 complaints, 0 new
[517/1071] 2003 Jeep Wrangler  ->  102 complaints, 0 new
[518/1071] 2004 Jeep Grand Cherokee  ->  1294 complaints, 0 new
[519/1071] 2004 Jeep Wrangler  ->  192 complaints, 0 new
[520/1071] 2005 Jeep Grand Cherokee  ->  2051 complaints, 0 new
[521/1071] 2005 Jeep Wrangler  ->  649 complaints, 0 new
[522/1071] 2006 Jeep Grand Cherokee  ->  1297 complaints, 0 new
[523/1071] 2006 Jeep Wrangler  ->  730 complaints, 0 new
[524/1071] 2008 Jeep Wrangler  ->  1253 complaints, 0 new
[525/1071] 2009 Jeep Wrangler  ->  455 complaints, 0 new
[526/1071] 2017 Jeep Grand Cherokee  ->  360 complaints, 0 new
[527/1071] 2017 Jeep Wrangler  ->  302 complaints, 0 new
[528/1071] 2018 Jeep Grand Cherokee  ->  826 complaints, 0 new
[529/1071] 2018 Jeep Wrangler  ->  1779 complaints, 0 new
[530/1071] 2020 Jeep Cherokee  ->  240 complaints, 0 new
[531/1071] 2020 Jeep Gladiator  ->  471 complaints, 0 new
[532/1071] 2020 Jeep Grand Cherokee  ->  219 complaints, 0 new
[533/1071] 2020 Jeep Wrangler  ->  582 complaints, 0 new
[534/1071] 2021 Jeep Cherokee  ->  127 complaints, 0 new
[535/1071] 2021 Jeep Gladiator  ->  267 complaints, 0 new
[536/1071] 2021 Jeep Grand Cherokee  ->  395 complaints, 0 new
[537/1071] 2021 Jeep Wrangler  ->  859 complaints, 0 new
[538/1071] 2022 Jeep Gladiator  ->  110 complaints, 0 new
[539/1071] 2022 Jeep Grand Cherokee  ->  346 complaints, 0 new
[540/1071] 2022 Jeep Wrangler  ->  347 complaints, 0 new
[541/1071] 2023 Jeep Grand Cherokee  ->  357 complaints, 0 new
[542/1071] 2023 Jeep Wrangler  ->  309 complaints, 0 new
[543/1071] 2024 Jeep Gladiator  ->  13 complaints, 0 new
[544/1071] 2024 Jeep Grand Cherokee  ->  219 complaints, 0 new
[545/1071] 2024 Jeep Wrangler  ->  0 complaints, 0 new
[546/1071] 2003 Kia Optima  ->  144 complaints, 0 new
[547/1071] 2003 Kia Sorento  ->  308 complaints, 0 new
[548/1071] 2004 Kia Optima  ->  225 complaints, 0 new
[549/1071] 2004 Kia Sorento  ->  220 complaints, 0 new
[550/1071] 2005 Kia Sorento  ->  307 complaints, 0 new
[551/1071] 2006 Kia Sorento  ->  242 complaints, 0 new
[552/1071] 2017 Kia Sorento  ->  777 complaints, 0 new
[553/1071] 2018 Kia Sorento  ->  245 complaints, 0 new
[554/1071] 2018 Kia Sportage  ->  154 complaints, 0 new
[555/1071] 2018 Kia Stinger  ->  64 complaints, 0 new
[556/1071] 2019 Kia Sorento  ->  407 complaints, 0 new
[557/1071] 2019 Kia Sportage  ->  65 complaints, 0 new
[558/1071] 2019 Kia Stinger  ->  41 complaints, 0 new
[559/1071] 2020 Kia Forte  ->  67 complaints, 0 new
[560/1071] 2020 Kia Seltos  ->  0 complaints, 0 new
[561/1071] 2020 Kia Sorento  ->  127 complaints, 0 new
[562/1071] 2020 Kia Soul  ->  347 complaints, 0 new
[563/1071] 2020 Kia Sportage  ->  148 complaints, 0 new
[564/1071] 2020 Kia Stinger  ->  16 complaints, 0 new
[565/1071] 2020 Kia Telluride  ->  705 complaints, 0 new
[566/1071] 2021 Kia Forte  ->  67 complaints, 0 new
[567/1071] 2021 Kia Seltos  ->  323 complaints, 0 new
[568/1071] 2021 Kia Sorento  ->  0 complaints, 0 new
[569/1071] 2021 Kia Soul  ->  204 complaints, 0 new
[570/1071] 2021 Kia Sportage  ->  42 complaints, 0 new
[571/1071] 2021 Kia Telluride  ->  314 complaints, 0 new
[572/1071] 2022 Kia Carnival  ->  128 complaints, 0 new
[573/1071] 2022 Kia EV6  ->  263 complaints, 0 new
[574/1071] 2022 Kia Forte  ->  22 complaints, 0 new
[575/1071] 2022 Kia Seltos  ->  65 complaints, 0 new
[576/1071] 2022 Kia Sorento  ->  176 complaints, 0 new
[577/1071] 2022 Kia Sportage  ->  41 complaints, 0 new
[578/1071] 2023 Kia Carnival  ->  44 complaints, 0 new
[579/1071] 2023 Kia EV6  ->  129 complaints, 0 new
[580/1071] 2023 Kia Sorento  ->  98 complaints, 0 new
[581/1071] 2023 Kia Telluride  ->  181 complaints, 0 new
[582/1071] 2024 Kia Carnival  ->  63 complaints, 0 new
[583/1071] 2024 Kia EV6  ->  66 complaints, 0 new
[584/1071] 2024 Kia EV9  ->  198 complaints, 0 new
[585/1071] 2024 Kia Forte  ->  21 complaints, 0 new
[586/1071] 2024 Kia Sorento  ->  33 complaints, 0 new
[587/1071] 2024 Kia Soul  ->  25 complaints, 0 new
[588/1071] 2024 Kia Sportage  ->  62 complaints, 0 new
[589/1071] 2021 Lamborghini Urus  ->  0 complaints, 0 new
[590/1071] 2022 Lamborghini Urus  ->  1 complaints, 0 new
[591/1071] 2020 Lincoln Aviator  ->  95 complaints, 0 new
[592/1071] 2020 Lincoln Corsair  ->  58 complaints, 0 new
[593/1071] 2020 Lincoln MKZ  ->  2 complaints, 0 new
[594/1071] 2020 Lincoln Navigator  ->  28 complaints, 0 new
[595/1071] 2020 Lincoln Navigator L  ->  0 complaints, 0 new
[596/1071] 2021 Lincoln Aviator  ->  32 complaints, 0 new
[597/1071] 2021 Lincoln Corsair  ->  31 complaints, 0 new
[598/1071] 2021 Lincoln Navigator  ->  26 complaints, 0 new
[599/1071] 2021 Lincoln Navigator L  ->  0 complaints, 0 new
[600/1071] 2022 Lincoln Aviator  ->  42 complaints, 0 new
[601/1071] 2022 Lincoln Corsair  ->  28 complaints, 0 new
[602/1071] 2022 Lincoln Nautilus  ->  6 complaints, 0 new
[603/1071] 2022 Lincoln Navigator  ->  17 complaints, 0 new
[604/1071] 2023 Lincoln Aviator  ->  19 complaints, 0 new
[605/1071] 2023 Lincoln Corsair  ->  11 complaints, 0 new
[606/1071] 2023 Lincoln Nautilus  ->  6 complaints, 0 new
[607/1071] 2023 Lincoln Navigator  ->  6 complaints, 0 new
[608/1071] 2024 Lincoln Aviator  ->  5 complaints, 0 new
[609/1071] 2024 Lincoln Corsair  ->  15 complaints, 0 new
[610/1071] 2024 Lincoln Nautilus  ->  19 complaints, 0 new
[611/1071] 2024 Lincoln Navigator  ->  14 complaints, 0 new
[612/1071] 2022 Lucid Air  ->  23 complaints, 0 new
[613/1071] 2023 Lucid Air  ->  23 complaints, 0 new
[614/1071] 2024 Lucid Air  ->  7 complaints, 0 new
[615/1071] 2020 MINI Countryman  ->  6 complaints, 0 new
[616/1071] 2021 MINI Countryman  ->  2 complaints, 0 new
[617/1071] 2022 MINI Countryman  ->  2 complaints, 0 new
[618/1071] 2021 Maserati Ghibli  ->  0 complaints, 0 new
[619/1071] 2021 Maserati Levante  ->  0 complaints, 0 new
[620/1071] 2022 Maserati Ghibli  ->  0 complaints, 0 new
[621/1071] 2022 Maserati Levante  ->  1 complaints, 0 new
[622/1071] 2023 Maserati Grecale  ->  4 complaints, 0 new
[623/1071] 2003 Mazda MPV  ->  114 complaints, 0 new
[624/1071] 2003 Mazda Mazda6  ->  175 complaints, 0 new
[625/1071] 2004 Mazda MPV  ->  96 complaints, 0 new
[626/1071] 2004 Mazda Mazda3  ->  170 complaints, 0 new
[627/1071] 2004 Mazda Mazda6  ->  184 complaints, 0 new
[628/1071] 2017 Mazda CX-5  ->  144 complaints, 0 new
[629/1071] 2018 Mazda CX-5  ->  105 complaints, 0 new
[630/1071] 2018 Mazda Mazda3  ->  106 complaints, 0 new
[631/1071] 2019 Mazda CX-5  ->  251 complaints, 0 new
[632/1071] 2019 Mazda Mazda3  ->  72 complaints, 0 new
[633/1071] 2020 Mazda CX-30  ->  31 complaints, 0 new
[634/1071] 2020 Mazda CX-5  ->  102 complaints, 0 new
[635/1071] 2020 Mazda CX-9  ->  16 complaints, 0 new
[636/1071] 2020 Mazda MX-5 Miata  ->  0 complaints, 0 new
[637/1071] 2020 Mazda Mazda3  ->  31 complaints, 0 new
[638/1071] 2021 Mazda CX-30  ->  95 complaints, 0 new
[639/1071] 2021 Mazda CX-5  ->  135 complaints, 0 new
[640/1071] 2021 Mazda CX-9  ->  33 complaints, 0 new
[641/1071] 2021 Mazda MX-5 Miata  ->  0 complaints, 0 new
[642/1071] 2021 Mazda Mazda3  ->  49 complaints, 0 new
[643/1071] 2022 Mazda CX-30  ->  31 complaints, 0 new
[644/1071] 2022 Mazda CX-5  ->  60 complaints, 0 new
[645/1071] 2022 Mazda CX-9  ->  9 complaints, 0 new
[646/1071] 2023 Mazda CX-5  ->  55 complaints, 0 new
[647/1071] 2023 Mazda CX-50  ->  56 complaints, 0 new
[648/1071] 2023 Mazda Mazda3  ->  12 complaints, 0 new
[649/1071] 2024 Mazda CX-5  ->  35 complaints, 0 new
[650/1071] 2024 Mazda CX-50  ->  29 complaints, 0 new
[651/1071] 2024 Mazda CX-90  ->  0 complaints, 0 new
[652/1071] 2024 Mazda Mazda3  ->  10 complaints, 0 new
[653/1071] 2018 Mercedes-Benz C-Class  ->  122 complaints, 0 new
[654/1071] 2019 Mercedes-Benz C-Class  ->  71 complaints, 0 new
[655/1071] 2020 Mercedes-Benz A-Class  ->  18 complaints, 0 new
[656/1071] 2020 Mercedes-Benz C-Class  ->  44 complaints, 0 new
[657/1071] 2020 Mercedes-Benz E-Class  ->  20 complaints, 0 new
[658/1071] 2021 Mercedes-Benz A-Class  ->  9 complaints, 0 new
[659/1071] 2021 Mercedes-Benz C-Class  ->  14 complaints, 0 new
[660/1071] 2021 Mercedes-Benz E-Class  ->  19 complaints, 0 new
[661/1071] 2024 Mercedes-Benz C-Class  ->  10 complaints, 0 new
[662/1071] 2007 Mercury Mariner  ->  33 complaints, 0 new
[663/1071] 2008 Mercury Mariner  ->  461 complaints, 0 new
[664/1071] 2008 Mercury Milan  ->  451 complaints, 0 new
[665/1071] 2008 Mercury Mountaineer  ->  96 complaints, 0 new
[666/1071] 2009 Mercury Mariner  ->  315 complaints, 0 new
[667/1071] 2009 Mercury Milan  ->  226 complaints, 0 new
[668/1071] 2009 Mercury Mountaineer  ->  6 complaints, 0 new
[669/1071] 2010 Mercury Mariner  ->  278 complaints, 0 new
[670/1071] 2010 Mercury Milan  ->  1060 complaints, 0 new
[671/1071] 2010 Mercury Mountaineer  ->  13 complaints, 0 new
[672/1071] 2011 Mercury Mariner  ->  87 complaints, 0 new
[673/1071] 2018 Mitsubishi Outlander  ->  55 complaints, 0 new
[674/1071] 2019 Mitsubishi Outlander  ->  29 complaints, 0 new
[675/1071] 2020 Mitsubishi Eclipse Cross  ->  5 complaints, 0 new
[676/1071] 2020 Mitsubishi Outlander  ->  28 complaints, 0 new
[677/1071] 2020 Mitsubishi Outlander Sport  ->  26 complaints, 0 new
[678/1071] 2021 Mitsubishi Eclipse Cross  ->  0 complaints, 0 new
[679/1071] 2021 Mitsubishi Outlander  ->  0 complaints, 0 new
[680/1071] 2021 Mitsubishi Outlander Sport  ->  17 complaints, 0 new
[681/1071] 2022 Mitsubishi Eclipse Cross  ->  5 complaints, 0 new
[682/1071] 2022 Mitsubishi Outlander  ->  205 complaints, 0 new
[683/1071] 2024 Mitsubishi Outlander  ->  18 complaints, 0 new
[684/1071] 2003 Nissan Altima  ->  883 complaints, 0 new
[685/1071] 2003 Nissan Frontier  ->  77 complaints, 0 new
[686/1071] 2003 Nissan Maxima  ->  206 complaints, 0 new
[687/1071] 2003 Nissan Murano  ->  799 complaints, 0 new
[688/1071] 2003 Nissan Pathfinder  ->  110 complaints, 0 new
[689/1071] 2003 Nissan Sentra  ->  180 complaints, 0 new
[690/1071] 2003 Nissan Xterra  ->  72 complaints, 0 new
[691/1071] 2004 Nissan Altima  ->  276 complaints, 0 new
[692/1071] 2004 Nissan Frontier  ->  66 complaints, 0 new
[693/1071] 2004 Nissan Maxima  ->  1425 complaints, 0 new
[694/1071] 2004 Nissan Murano  ->  678 complaints, 0 new
[695/1071] 2004 Nissan Pathfinder  ->  67 complaints, 0 new
[696/1071] 2004 Nissan Sentra  ->  197 complaints, 0 new
[697/1071] 2004 Nissan Xterra  ->  84 complaints, 0 new
[698/1071] 2005 Nissan Altima  ->  1091 complaints, 0 new
[699/1071] 2005 Nissan Pathfinder  ->  1050 complaints, 0 new
[700/1071] 2005 Nissan Sentra  ->  170 complaints, 0 new
[701/1071] 2005 Nissan Titan  ->  891 complaints, 0 new
[702/1071] 2006 Nissan Altima  ->  824 complaints, 0 new
[703/1071] 2006 Nissan Pathfinder  ->  837 complaints, 0 new
[704/1071] 2006 Nissan Sentra  ->  116 complaints, 0 new
[705/1071] 2006 Nissan Titan  ->  430 complaints, 0 new
[706/1071] 2007 Nissan Altima  ->  497 complaints, 0 new
[707/1071] 2008 Nissan Altima  ->  1028 complaints, 0 new
[708/1071] 2008 Nissan Rogue  ->  428 complaints, 0 new
[709/1071] 2009 Nissan Altima  ->  1547 complaints, 0 new
[710/1071] 2009 Nissan Rogue  ->  319 complaints, 0 new
[711/1071] 2015 Nissan Altima  ->  938 complaints, 0 new
[712/1071] 2015 Nissan Rogue  ->  542 complaints, 0 new
[713/1071] 2015 Nissan Sentra  ->  345 complaints, 0 new
[714/1071] 2016 Nissan Altima  ->  543 complaints, 0 new
[715/1071] 2016 Nissan Rogue  ->  534 complaints, 0 new
[716/1071] 2017 Nissan Altima  ->  380 complaints, 0 new
[717/1071] 2017 Nissan Rogue  ->  581 complaints, 0 new
[718/1071] 2018 Nissan Altima  ->  220 complaints, 0 new
[719/1071] 2018 Nissan Murano  ->  14 complaints, 0 new
[720/1071] 2018 Nissan Rogue  ->  612 complaints, 0 new
[721/1071] 2018 Nissan Sentra  ->  183 complaints, 0 new
[722/1071] 2019 Nissan Altima  ->  218 complaints, 0 new
[723/1071] 2019 Nissan Murano  ->  40 complaints, 0 new
[724/1071] 2019 Nissan Rogue  ->  326 complaints, 0 new
[725/1071] 2019 Nissan Sentra  ->  219 complaints, 0 new
[726/1071] 2020 Nissan Altima  ->  170 complaints, 0 new
[727/1071] 2020 Nissan Armada  ->  6 complaints, 0 new
[728/1071] 2020 Nissan Frontier  ->  0 complaints, 0 new
[729/1071] 2020 Nissan Kicks  ->  88 complaints, 0 new
[730/1071] 2020 Nissan Leaf  ->  152 complaints, 0 new
[731/1071] 2020 Nissan Maxima  ->  20 complaints, 0 new
[732/1071] 2020 Nissan Murano  ->  42 complaints, 0 new
[733/1071] 2020 Nissan Pathfinder  ->  48 complaints, 0 new
[734/1071] 2020 Nissan Rogue  ->  147 complaints, 0 new
[735/1071] 2020 Nissan Sentra  ->  198 complaints, 0 new
[736/1071] 2020 Nissan Titan  ->  18 complaints, 0 new
[737/1071] 2021 Nissan Altima  ->  61 complaints, 0 new
[738/1071] 2021 Nissan Armada  ->  12 complaints, 0 new
[739/1071] 2021 Nissan Frontier  ->  17 complaints, 0 new
[740/1071] 2021 Nissan Kicks  ->  68 complaints, 0 new
[741/1071] 2021 Nissan Leaf  ->  49 complaints, 0 new
[742/1071] 2021 Nissan Maxima  ->  3 complaints, 0 new
[743/1071] 2021 Nissan Murano  ->  14 complaints, 0 new
[744/1071] 2021 Nissan Pathfinder  ->  0 complaints, 0 new
[745/1071] 2021 Nissan Rogue  ->  261 complaints, 0 new
[746/1071] 2021 Nissan Sentra  ->  124 complaints, 0 new
[747/1071] 2021 Nissan Titan  ->  0 complaints, 0 new
[748/1071] 2022 Nissan Altima  ->  20 complaints, 0 new
[749/1071] 2022 Nissan Armada  ->  7 complaints, 0 new
[750/1071] 2022 Nissan Frontier  ->  107 complaints, 0 new
[751/1071] 2022 Nissan Leaf  ->  0 complaints, 0 new
[752/1071] 2022 Nissan Pathfinder  ->  128 complaints, 0 new
[753/1071] 2022 Nissan Rogue  ->  234 complaints, 0 new
[754/1071] 2023 Nissan Altima  ->  27 complaints, 0 new
[755/1071] 2023 Nissan Rogue  ->  614 complaints, 0 new
[756/1071] 2024 Nissan Altima  ->  37 complaints, 0 new
[757/1071] 2024 Nissan Frontier  ->  0 complaints, 0 new
[758/1071] 2024 Nissan Rogue  ->  158 complaints, 0 new
[759/1071] 2024 Nissan Titan  ->  0 complaints, 0 new
[760/1071] 2005 Pontiac G6  ->  679 complaints, 0 new
[761/1071] 2006 Pontiac G6  ->  1907 complaints, 0 new
[762/1071] 2007 Pontiac G6  ->  1230 complaints, 0 new
[763/1071] 2007 Pontiac Grand Prix  ->  220 complaints, 0 new
[764/1071] 2007 Pontiac Torrent  ->  243 complaints, 0 new
[765/1071] 2007 Pontiac Vibe  ->  170 complaints, 0 new
[766/1071] 2008 Pontiac G6  ->  1077 complaints, 0 new
[767/1071] 2008 Pontiac Grand Prix  ->  142 complaints, 0 new
[768/1071] 2008 Pontiac Solstice  ->  159 complaints, 0 new
[769/1071] 2008 Pontiac Torrent  ->  125 complaints, 0 new
[770/1071] 2008 Pontiac Vibe  ->  63 complaints, 0 new
[771/1071] 2009 Pontiac G6  ->  710 complaints, 0 new
[772/1071] 2009 Pontiac Solstice  ->  36 complaints, 0 new
[773/1071] 2009 Pontiac Vibe  ->  527 complaints, 0 new
[774/1071] 2020 Porsche 911  ->  0 complaints, 0 new
[775/1071] 2020 Porsche Cayenne  ->  18 complaints, 0 new
[776/1071] 2020 Porsche Macan  ->  23 complaints, 0 new
[777/1071] 2020 Porsche Panamera  ->  5 complaints, 0 new
[778/1071] 2020 Porsche Taycan  ->  86 complaints, 0 new
[779/1071] 2021 Porsche 911  ->  0 complaints, 0 new
[780/1071] 2021 Porsche Cayenne  ->  16 complaints, 0 new
[781/1071] 2021 Porsche Macan  ->  9 complaints, 0 new
[782/1071] 2021 Porsche Panamera  ->  2 complaints, 0 new
[783/1071] 2021 Porsche Taycan  ->  69 complaints, 0 new
[784/1071] 2022 Porsche 911  ->  0 complaints, 0 new
[785/1071] 2022 Porsche Cayenne  ->  1 complaints, 0 new
[786/1071] 2022 Porsche Macan  ->  4 complaints, 0 new
[787/1071] 2022 Porsche Taycan  ->  78 complaints, 0 new
[788/1071] 2023 Porsche 911  ->  0 complaints, 0 new
[789/1071] 2023 Porsche Cayenne  ->  4 complaints, 0 new
[790/1071] 2023 Porsche Macan  ->  6 complaints, 0 new
[791/1071] 2023 Porsche Taycan  ->  19 complaints, 0 new
[792/1071] 2024 Porsche 911  ->  0 complaints, 0 new
[793/1071] 2024 Porsche Cayenne  ->  5 complaints, 0 new
[794/1071] 2024 Porsche Macan  ->  7 complaints, 0 new
[795/1071] 2024 Porsche Panamera  ->  2 complaints, 0 new
[796/1071] 2024 Porsche Taycan  ->  9 complaints, 0 new
[797/1071] 2005 RAM 1500  ->  0 complaints, 0 new
[798/1071] 2006 RAM 1500  ->  0 complaints, 0 new
[799/1071] 2016 RAM 1500  ->  1486 complaints, 0 new
[800/1071] 2017 RAM 1500  ->  842 complaints, 0 new
[801/1071] 2018 RAM 1500  ->  634 complaints, 0 new
[802/1071] 2020 RAM 1500  ->  594 complaints, 0 new
[803/1071] 2020 RAM 2500  ->  158 complaints, 0 new
[804/1071] 2021 RAM 1500  ->  642 complaints, 0 new
[805/1071] 2021 RAM 2500  ->  101 complaints, 0 new
[806/1071] 2022 RAM 1500  ->  0 complaints, 0 new
[807/1071] 2022 RAM 2500  ->  0 complaints, 0 new
[808/1071] 2023 RAM 1500  ->  0 complaints, 0 new
[809/1071] 2024 RAM 1500  ->  0 complaints, 0 new
[810/1071] 2024 RAM 2500  ->  0 complaints, 0 new
[811/1071] 2007 Saab 9-3  ->  155 complaints, 0 new
[812/1071] 2007 Saab 9-5  ->  17 complaints, 0 new
[813/1071] 2008 Saab 9-3  ->  183 complaints, 0 new
[814/1071] 2008 Saab 9-5  ->  20 complaints, 0 new
[815/1071] 2009 Saab 9-3  ->  43 complaints, 0 new
[816/1071] 2009 Saab 9-5  ->  2 complaints, 0 new
[817/1071] 2010 Saab 9-3  ->  30 complaints, 0 new
[818/1071] 2005 Saturn Ion  ->  573 complaints, 0 new
[819/1071] 2005 Saturn Vue  ->  169 complaints, 0 new
[820/1071] 2006 Saturn Ion  ->  1235 complaints, 0 new
[821/1071] 2006 Saturn Vue  ->  300 complaints, 0 new
[822/1071] 2007 Saturn Aura  ->  607 complaints, 0 new
[823/1071] 2007 Saturn Ion  ->  876 complaints, 0 new
[824/1071] 2007 Saturn Outlook  ->  511 complaints, 0 new
[825/1071] 2007 Saturn Vue  ->  312 complaints, 0 new
[826/1071] 2008 Saturn Aura  ->  432 complaints, 0 new
[827/1071] 2008 Saturn Outlook  ->  633 complaints, 0 new
[828/1071] 2008 Saturn Vue  ->  406 complaints, 0 new
[829/1071] 2009 Saturn Aura  ->  389 complaints, 0 new
[830/1071] 2009 Saturn Outlook  ->  192 complaints, 0 new
[831/1071] 2009 Saturn Vue  ->  125 complaints, 0 new
[832/1071] 2003 Subaru Forester  ->  191 complaints, 0 new
[833/1071] 2003 Subaru Impreza  ->  64 complaints, 0 new
[834/1071] 2003 Subaru Outback  ->  95 complaints, 0 new
[835/1071] 2004 Subaru Forester  ->  219 complaints, 0 new
[836/1071] 2004 Subaru Impreza  ->  96 complaints, 0 new
[837/1071] 2004 Subaru Outback  ->  90 complaints, 0 new
[838/1071] 2005 Subaru Forester  ->  93 complaints, 0 new
[839/1071] 2005 Subaru Outback  ->  273 complaints, 0 new
[840/1071] 2006 Subaru Forester  ->  88 complaints, 0 new
[841/1071] 2006 Subaru Outback  ->  280 complaints, 0 new
[842/1071] 2008 Subaru Outback  ->  228 complaints, 0 new
[843/1071] 2009 Subaru Outback  ->  110 complaints, 0 new
[844/1071] 2016 Subaru Outback  ->  633 complaints, 0 new
[845/1071] 2017 Subaru Forester  ->  568 complaints, 0 new
